phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,adapter_safety_state,nonfoot_floor_contacts
stand,0.04000000000000003,0.04000000000000003,0.02263569018452821,0.00048802407317217084,-0.007001725366569301,0.0008882349727204128,0.036685275679551745,0.9650056994497723,1.0,0.0010955387284942095,0,0,0,NOMINAL,0
stand,0.08000000000000006,0.08000000000000006,0.030402482673772137,0.0009056563367740209,-0.029524924875062912,-0.006495821728262127,0.049537006070317774,0.5659632433336903,1.0,0.0010938455894506064,0,0,0,NOMINAL,0
stand,0.12000000000000009,0.12000000000000009,-0.006942544064085512,0.00680394306973665,-0.05244464603678892,-0.014500753544781446,0.013266665073281503,0.9914517302846018,1.0,0,0,0,0,NOMINAL,0
stand,0.16000000000000011,0.16000000000000011,-0.04246991128197141,0.0075413926179676415,-0.04649999151906606,-0.014453760853859195,0.07029332967419356,0.9904649672840007,1.0,0,0,0,0,NOMINAL,0
stand,0.20000000000000015,0.20000000000000015,-0.06453380168715674,-0.0014622756669428858,-0.04094667004436699,-0.0072957828277512736,0.10609062351441613,0.33314885761829943,1.0,0,0,0,0,NOMINAL,0
stand,0.24000000000000019,0.24000000000000019,-0.08183946208927434,-0.0021244359259950823,-0.03910515812252067,0.003602156859270378,0.1328740448443053,0.5454227955786954,1.0,0,0,0,0,NOMINAL,0
stand,0.2800000000000002,0.2800000000000002,-0.08976583662616579,-0.00025231395605738435,-0.03955498676113343,0.00894664746888179,0.1430351225785196,0.16918528564999769,1.0,0,0,0,0,NOMINAL,0
stand,0.32000000000000023,0.32000000000000023,-0.0925300599820621,-0.0023008384729315827,-0.03881554468717871,0.00920187435812037,0.14324385665802705,0.19933784404196028,1.0,0,0,0,0,NOMINAL,0
stand,0.36000000000000026,0.36000000000000026,-0.09743544207175568,-0.008040434524651755,-0.03865748703423602,0.010977389068519253,0.14766961930785086,0.27416204630184776,1.0,0,0,0,0,NOMINAL,0
stand,0.4000000000000003,0.4000000000000003,-0.10675086847476062,-0.01852499666739997,-0.03820441805206587,0.017564968544036653,0.15992505557506462,0.21845843450636432,1.0,0,0,0,0,NOMINAL,0
