phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
stand,0.04000000000000003,0.04000000000000003,0.024138876226341234,-0.0005265316503494449,-0.006455098416219258,-0.0016082179375367677,0.03818617629578643,0.8676814339518281,1.0,0.0006904650345095036,0,0,0,0
stand,0.08000000000000006,0.08000000000000006,0.01999048372493973,0.014821475817618156,-0.02995747032732594,-0.0012579241472489894,0.03845401557060632,0.9539962319519157,1.0,0.0006997015525591733,0,0,0,0
stand,0.12000000000000009,0.12000000000000009,0.015431139565247639,-0.0038633408459999973,-0.04930215171950169,-0.0007286596745067471,0.027611584887895044,0.9377251819467242,1.0,0.0,0,0,0,0
stand,0.16000000000000011,0.16000000000000011,0.01797376861594676,-0.017837772373879034,-0.04475100961730095,-0.004618560240348471,0.05063889248511474,0.29152628462814706,1.0,0.0,0,0,0,0
stand,0.20000000000000015,0.20000000000000015,-0.0007922249181501975,-0.02002613660345844,-0.03895400219730094,-0.011440302873131827,0.04699407354467629,0.4780752921681257,1.0,0.0,0,0,0,0
stand,0.24000000000000019,0.24000000000000019,-0.010608448007678146,-0.021488282073895575,-0.03727493836428861,-0.009996020567799444,0.05165990459567595,0.14128879896358,0.9362197326723551,0.0,0,0,0,0
stand,0.2800000000000002,0.2800000000000002,-0.014029235496717666,-0.01647504583495194,-0.03755156575237819,-0.006343712802289275,0.04482221606755753,0.21764236416559601,1.0,0.0004565909625501018,0,0,0,0
stand,0.32000000000000023,0.32000000000000023,-0.015408851001553155,-0.007457121497259064,-0.03894132200235333,0.0018530884098026485,0.03192379866386354,0.32097711480846075,1.0,0.00043525213831529906,0,0,0,0
stand,0.36000000000000026,0.36000000000000026,-0.018547524998932228,0.014107075855152341,-0.04383119027081984,0.017742783244107902,0.036178841711568294,0.4676776989933625,1.0,0.0003879083650385761,0,0,0,0
stand,0.4000000000000003,0.4000000000000003,-0.021946582461391417,0.017141967713765218,-0.04181738864985663,0.020096410547456464,0.042227684667994966,0.06311363581801478,1.0,0.00032680313293724885,0,0,0,0
stand,0.44000000000000034,0.44000000000000034,-0.01781121407293363,0.018932475281090422,-0.03984425688418575,0.02048918303791431,0.036312840334145,0.0850533175571976,1.0,0.0003392041816739706,0,0,0,0
stand,0.48000000000000037,0.48000000000000037,-0.012794340773469767,0.01610172814209175,-0.04038047883400135,0.021242163599054235,0.023848328849610467,0.22657888584023939,0.9717174001977802,0.0003342398321348965,0,0,0,0
stand,0.5199999999999981,0.5199999999999981,-0.010104281365804716,-0.00020234364062213914,-0.043746040525963585,0.02331965237811364,0.007539323434552933,0.24548786816365786,1.0,0.0003143582472604496,0,0,0,0
stand,0.5599999999999937,0.5599999999999937,-0.012531337828827163,0.0023818462982949117,-0.04328308319841312,0.028137299306450685,0.006387006707257043,0.19791953921929178,1.0,0.00012539021030834457,0,0,0,0
stand,0.5999999999999893,0.5999999999999893,-0.013408896971933412,0.007204895346589422,-0.043340599286580635,0.03145126175406339,0.0022247941253603744,0.14915716714164218,1.0,9.66087061820499e-05,0,0,0,0
stand,0.6399999999999849,0.6399999999999849,-0.016213935596595244,0.004214097824149336,-0.043314943434408816,0.03403449739052067,0.005448166237361711,0.2435469007768852,1.0,0.0001663568191560226,0,0,0,0
stand,0.6799999999999805,0.6799999999999805,-0.013971038416873324,0.001396808507005602,-0.04320124540376448,0.03514482913566429,0.007282881057838516,0.12432236603280547,0.7940146284457669,0.00038880825636146887,0,0,0,0
stand,0.7199999999999761,0.7199999999999761,-0.011353848116529952,0.00400785853421311,-0.04304417814371381,0.0377316960736881,0.0037203794082738993,0.07621089169152459,0.6342304280289338,0.0004005240069796131,0,0,0,0
stand,0.7599999999999717,0.7599999999999717,-0.011318247941209628,0.004260194346808917,-0.04306559525722694,0.039869884899896804,0.003279761900363883,0.01955191352532859,0.6632752918373009,0.0003080205354263418,0,0,0,0
stand,0.7999999999999673,0.7999999999999673,-0.011678099638706209,0.004058416216417378,-0.043056534747223034,0.04126540377613398,0.0037919062101519512,0.008638657359638794,0.5723575646532167,0.0002052952504091936,0,0,0,0
stand,0.8399999999999629,0.8399999999999629,-0.011907342457236927,0.0040905532832619575,-0.04305738317148062,0.04218900267827778,0.004291119692672427,0.004332563380820856,0.5526521084758892,0.00020524077611594992,0,0,0,0
stand,0.8799999999999585,0.8799999999999585,-0.012064571548498389,0.0040956331198386065,-0.043055703395024146,0.042831748248197896,0.004722586456840338,0.002793554407630008,0.5661428449519127,0.00019569557275122794,0,0,0,0
stand,0.9199999999999541,0.9199999999999541,-0.012080272393155185,0.004046987761326631,-0.043051048166420525,0.043431520906558996,0.004778872090860393,0.002150063458866562,0.5690467057568551,0.00017180291837383892,0,0,0,0
stand,0.9599999999999497,0.9599999999999497,-0.011990659527695888,0.00399224765721655,-0.043045207955791955,0.0440295391632977,0.004472349544609348,0.003341343051357961,0.5627245425275093,0.00015393041386942475,0,0,0,0
